FamilyName,FirstName
LAHHŪD ISHAQ MU'AWWAD, Mr Sarkīs
LAHTINEN, Rev. William
LAHTINEN, Mrs Anna Amelia
LAHY, Mr T.
LAITINEN, Miss Kristina Sofia
LAKE, Mr William
LAM, Mr Len
LAMB, Mr John J.
LANE, Mr Patrick
LANE, Mr Albert Edward
LAROCHE, Mr Joseph Philippe Lemercier
LARSSON, Mr August Viktor
LARSSON, Mr Bengt Edvin
LATIMER, Mr Andrew
LAWRANCE, Mr Arthur
LEADER, Mr Archibald
LEE, Mr Herbert Henry
LEFEBVRE, Mrs Frances Marie
LEFEBVRE, Master Henry
LEFEBVRE, Miss Ida
LEFEBVRE, Miss Jeannie
LEFEBVRE, Miss Mathilde
LEFEBVRE, Mr Paul Georges
LEINONEN, Mr Antti Gustaf
LENNON, Mr Denis
LEONARD, Mr Matthew
LESTER, Mr James
LEVETT, Mr George Alfred
LÉVY, Mr René Jacques
LEWY, Mr Ervin G.
LEYSON, Mr Robert William Norman
LIEVENS, Mr René Aimé
LIGHT, Mr Christopher William
LIGHT, Mr W.
LIGHT, Mr Charles Edward
LIND, Mr Erik Gustaf
LINDAHL, Miss Agda Thorilda Viktoria
LINDBLOM, Miss Augusta Charlotta
LINDELL, Mr Edvard Bengtsson
LINDELL, Mrs Elin Gerda
LINEHAN, Mr Michael
LING, Mr Lee
LINGANE, Mr John
LINHART, Mr Wenzel
LIVSHIN, Mr David
LLOYD, Mr William
LLOYD, Mr Humphrey
LOBB, Mr William Arthur
LOBB, Mrs Cordelia
LOCKE, Mr Albert George
LOCKYER, Mr Edward Thomas
LONG, Mr Milton Clyde
LONG, Mr Frank
LONG, Mr William
LONGMUIR, Mr John Dickson
LORING, Mr Joseph Holland
LOUCH, Mr Charles
LOVELL, Mr John Hall
LOVELL, Mr John
LUNDAHL, Mr Johan Svensson
LYDIATT, Mr Charles
LYMPEROPOULUS, Mr Panagiotis K.
LYNTAKOFF, Mr Stanko
LYONS, Mr William Henry
MABEY, Mr John Charles
MACK, Mrs Mary
MACKAY, Mr George William
MACKIE, Mr William Dickson
MACKIE, Mr George William
MÄENPÄÄ, Mr Matti Alexanteri
MAGUIRE, Mr John Edward
MAHON, Miss Bridget Delia
MAJOR, Mr Thomas Edgar
MÄKINEN, Mr Kalle Edvard
MALACHARD, Mr Jean-Noël
MALLET, Mr Albert Denis Pierre
MANGAN, Miss Mary
MANGIAVACCHI, Mr Emilio Giovanni Andrea Onorato
MANTLE, Mr Roland Frederick
MARCH, Mr John Starr
MARDIROSIAN, Mr Sarkis
MARETT, Mr George John
MARINKO, Mr Dmitri
MARKOFF, Mr Marin
MARKS, Mr James
MARKUN, Mr Johann
MARRIOTT, Mr John William
MARSH, Mr Frederick Charles
MARVIN, Mr Daniel Warner
MASKELL, Mr Leopold Adolphus
MASON, Mr J.
MATHIAS, Mr Montague Vincent
MATHIESON, Mr David John
MATINOFF, Mr Nicola
MATTHEWS, Mr William John
MATTMANN, Mr Adolf
MAXWELL, Mr John
MAY, Mr Arthur William
MAY, Mr Arthur William
MAYBERY, Mr Frank Hubert
MAYO, Mr William Peter
MAYTUM, Mr Alfred
MCANDREW, Mr Thomas Patrick
MCANDREWS, Mr William
MCCAFFRY, Mr Thomas Francis
MCCARTHY, Mr Timothy John
MCCARTY, Mr Frederick James
MCCASTLIN, Mr William
MCCAWLEY, Mr Thomas W.
MCCRAE, Mr Arthur Gordon
MCCRIE, Mr James Matthew
MCELROY, Mr Hugh Walter
MCEVOY, Mr Michael
MCGARVEY, Mr Edward Joseph
MCGAW, Mr Erroll Victor
MCGOWAN, Miss Catherine
MCGRADY, Mr James
MCINERNEY, Mr Thomas
MCKANE, Mr Peter Daniel
MCMAHON, Mr Martin
MCMICKEN, Mr Benjamin Tucker
MCMULLIN, Mr John Richard
MCMURRAY, Mr William
MCNAMEE, Mr Neal
MCNAMEE, Mrs Eileen
MCNEILL, Miss Bridget
MCQUILLAN, Mr William
MCRAE, Mr William Alexander
MCREYNOLDS, Mr William Thomas Carson
MEANWELL, Mrs Marian
MEEHAN, Mr John
MEEK, Mrs Annie Louisa
MEISNERE, Mr Simon
MELLOR, Mr Arthur
MEO (MARTINO), Mr Alfonzo
MERNAGH, Mr Robert
MEYER, Mr Edgar Joseph
MEYER, Mr August
MIDDLETON, Mr Alfred Pirrie
MIDDLETON, Mr Mark Victor
MIHOFF, Mr Stoytcho
MILES, Mr Frank
MILFORD, Mr George
MILLAR, Mr Robert
MILLAR, Mr Thomas
MILLET, Mr Francis Davis
MILLING, Mr Jacob Christian
MINAHAN, Dr William Edward
MINEFF, Mr Ivan
MINKOFF, Mr Lazar
MINTRAM, Mr William
MISH'ALĀNĪ, Mr Ibrāhīm Mansūr
MITCHELL, Mr Henry Michael
MITCHELL, Mr Lorenzo Horace
MITKOFF, Mr Mito
MOEN, Mr Sigurd Hansen
MOLSON, Mr Harry Markland
MONRÓS, Sr. Joan Javier
MONTEVERDI, Sig. Giovanni
MONTVILA, Fr Juozas
MOODY, Mr James Paul
MOORE, Mr Clarence
MOORE, Mr Leonard Charles
MOORE, Mr Ralph
MOORE, Mr Alfred Ernest
MOORES, Mr Richard Henry
MORAN, Mr Daniel J.
MORAWECK, Dr Ernest
MORGAN, Mr Arthur Herbert
MORGAN, Mr Thomas A.
MORGAN (BIRD), Mr Charles Frederick
MORLEY, Mr Henry Samuel
MORLEY, Mr William
MORRIS, Mr William Edward
MORROW, Mr Thomas Rowan
MOSS, Mr William
MOUTAL, Mr Rahamin Haim
MOYES, Mr William Young
MUDD, Mr Thomas Cupper
MÜLLER, Mr Ludwig
MULLIN, Miss Mary
MULLIN, Mr Thomas
MURDLIN, Mr Joseph
MURDOCH, Mr William McMaster
MYHRMAN, Mr Pehr Fabian Oliver Malkolm
MYLES, Mr Thomas Francis
NAIDENOFF, Mr Penko
NAKHLI, Mr Toufik
NANCARROW, Mr William Henry
NANKOFF, Mr Minko
NANNINI, Sig. Francesco Luigi Arcangelo
NASR 'ALMĀ, Mr Mustafà
NAṢR ALLĀH, Mr Niqūlā Khalīl
NASR-RIZQ, Mr Su'ādah Ḥannā
NATSCH, Mr Charles
NAUGHTON, Miss Hannah
NAVRATIL, Mr Michel
NENKOV, Mr Hristo
NESSON, Mr Israel
NETTLETON, Mr George Walter
NEWELL, Mr Arthur Webster
NEWMAN, Mr Charles Thomas
NICHOLLS, Mr Joseph Charles
NICHOLLS, Mr Sidney
NICHOLS, Mr Albert William Stanley
NICHOLS, Mr Arthur
NICHOLSON, Mr Arthur Ernest
NIEMINEN, Miss Manta Josefina
NIKLASSON, Mr Samuel
NILSSON, Mr August Ferdinand
NIVEN, Mr John Brown
NOFAL, Mr Mansouer
NOON, Mr John Thomas
NORMAN, Mr Robert Douglas
NORRIS, Mr James
NOSS, Mr Bertram Arthur
NOSWORTHY, Mr Richard Cater
NYSVEEN, Mr Johannes Hansen
O'BRIEN, Mr Denis
O'BRIEN, Mr Thomas
O'CONNELL, Mr Patrick Denis
O'CONNOR, Mr Maurice
O'CONNOR, Mr Patrick
O'CONNOR, Mr Thomas Peter
O'KEEFE, Mr Arthur
O'LOUGHLIN, Dr William Francis Norman
O'SULLIVAN, Miss Bridget Mary
ÖDAHL, Mr Nils Martin
OLIVE, Mr Charles
OLIVE, Mr Ernest Roskelly
OLSEN, Mr Karl Siegwart Andreas
OLSEN, Mr Henry Margido
OLSEN, Mr Ole Martin
OLSSON, Mr Nils Johan Göransson
OLSSON, Miss Elida
OLSVIGEN, Mr Thor Anderson
OREŠKOVIĆ, Mr Luka
OREŠKOVIĆ, Miss Jelka
OREŠKOVIĆ, Miss Marija
ORPET, Mr Walter Hayward
ORR, Mr James
OSBORNE, Mr William Edward
OSÉN, Mr Olaf Elon
OTTER, Mr Richard
OVIÉS Y RODRÍGUEZ, Mr Servando José Florentino
OWEN, Mr Lewis
PACEY, Mr Reginald lvan
PACHERA, Sig. Jean Baptiste Stanislas
PAICE, Mr Richard Charles John
PAIN, Dr Alfred
PAINTER, Mr Charles
PAINTER, Mr Frank
PAINTIN, Mr James Arthur
PALLES, Mr Thomas Henry Michael
PÅLSSON, Mrs Alma Cornelia
PÅLSSON, Master Gösta Leonard
PÅLSSON, Master Paul Folke
PÅLSSON, Miss Stina Viola
PÅLSSON, Miss Torborg Danira
PANULA, Mrs Maija Emelia Abrahamintytar
PANULA, Master Jaako Arnold
PANULA, Mr Ernesti Arvid
PANULA, Master Juha Niilo
PANULA, Master Urho Abraham
PANULA, Master Eino Viljam
PARKER, Mr Clifford Richard
PARKES, Mr Francis
PARR, Mr William Henry Marsh
PARSONS, Mr Frank Alfred
PARSONS, Mr Edward
PARSONS, Mr Richard Henry
PARTNER, Mr Austin
PASIC, Mr Jakob
PATCHETT, Mr George
PAVLOVIĆ, Mr Stefo
PAYNE, Mr Vivian Ponsonby
PEACOCK, Mrs Edith
PEACOCK, Master Albert Edward
PEACOCK, Miss Treasteall
PEARCE, Mr Ernest
PEARCE, Mr Alfred Ernest
PEARS, Mr Thomas
PEDERSEN, Mr Olaf
PEDRINI, Sig. Alessandro
PEDUZZI, Mr Joseph
PEKONIEMI, Mr Edvard
PELTOMÄKI, Mr Nikolai Johannes
PEÑASCO Y CASTELLANA, Mr Victor
PENGELLY, Mr Frederick William
PENNAL, Mr Thomas Frederick Cohen
PENNY, Mr William Farr
PENROSE, Mr John Poole
PERACCHIO, Sig. Alberto
PERACCHIO, Sig. Sebastiano
PERKIN, Mr John Henry
PERKINS, Mr Laurence Alexander
PERNOT, Mr René
PEROTTI, Mr Alfonso
PERREN, Mr William Charles
PERRITON, Mr Hubert Prouse
PERRY, Mr Henry Frederick
PERUSCHITZ, Fr Josef
PETERANEC KRAMARIĆ, Mrs Mathilda
PETERS, Miss Catherine
PETERSEN, Mr Marius
PETROFF, Mr Nedialco
PETROFF, Mr Pastcho
PETTERSSON, Mr Johan Emil
PETTERSSON, Miss Elin Natalia
PETTY, Mr Edwin Henry
PHILLIPS, Mr Escott Robert
PHILLIPS, Mr George
PHILLIPS, Mr John George
PHILLIPS, Mr Walter John
PIATTI, Sig. Louis
PIAZZA, Sig. Pompeo Gaspro
PITFIELD, Mr William James
PLATT, Mr Wilfred George
PLOTCHARSKY, Mr Vasil
POCRNIĆ, Mr Mate
POCRNIĆ, Mr Tome
POGGI, Sig. Emilio
POND, Mr George
PONESELL, Mr Martin
POOK, Mr Percy Robert
PORTER, Mr Walter Chamberlain
PORTEUS, Mr Thomas Henry
PRESTON, Mr Thomas Charles Alfred
PRICE, Mr Ernest Cyril
PRIDEAUX, Mr John Arthur (Jack)
PROCTOR, Mr Charles
PROUDFOOT, Mr Richard Royston
PRYCE, Mr Charles William
PUGH, Mr Arthur Percy
PULBAUM, Mr Franz
PULNER, Mr Uscher
PUZEY, Mr John Edward
RADEFF, Mr Alexander
RAFŪL-BŪLUS, Mr Bākhūs
RANDALL, Mr Frank Henry
RANSOM, Mr James
RATTENBURY, Mr William Henry
RATTI, Sig. Enrico
READ, Mr Joseph
REED, Mr James George
REED, Mr Thomas Charles Prowse
REEVES, Mr David
REEVES, Mr Frederick Simms
REEVES, Mr Frederick Vernon Hilton
REID, Mr Robert Thomas
REKIĆ, Mr Tido (Ejdo)
RENOUF, Mr Peter Henry
RENTOWL, Mr Philip Charles Thomas
REUCHLIN, Jonkh Johan George
REVELL, Mr William James Francis
REYNOLDS, Mr Harold
RICALDONE, Mr Rinaldo Renato
RICE, Mrs Margaret
RICE, Master Albert
RICE, Master George
RICE, Master Eric
RICE, Master Arthur
RICE, Master Francis
RICE, Mr John Reginald
RICE, Mr Percy
RICHARD, Mr Emile Phillippe
RICHARDS, Mr Joseph James
RICKMAN, Mr George Albert Dolman
RICKS, Mr Cyril Gordon
RIDOUT, Mr Walter George
RIGHINI, Mr Sante
RIGOZZI, Mr Abele
RIIHIVUORI, Miss Susanna Juhantytär
RIMMER, Mr Gilbert
RINTAMÄKI, Mr Matti
RISIEN, Mr Samuel Beard
RISIEN, Mrs Emma Jane
ROBERTON, Mr George Edward
ROBERTS, Mr Robert George
ROBERTS, Mr Frank John
ROBERTS, Mr Hugh H.
ROBINS, Mr Victor
ROBINS, Mr Alexander
ROBINS, Mrs Charity
ROBINSON, Mr James William
ROEBLING, Mr Washington Augustus
ROGERS, Mr Reginald Harry
ROGERS, Mr William John
ROGERS, Mr Edward James William
ROGERS, Mr Michael Joseph
ROMMETVEDT, Mr Knud Paust
RONDBERG, Mr Edvard Larsson
ROOD, Mr Hugh Roscoe
ROSBLOM, Mrs Helena Wilhelmina
ROSBLOM, Miss Salli Helena
ROSBLOM, Mr Viktor Richard
ROSENSHINE, Mr George
ROSS, Mr John Hugo
ROTHSCHILD, Mr Martin
ROTTA, Sig. Angelo Mario
ROUS, Mr Arthur John
ROUSE, Mr Richard Henry
ROUSSEAU, Mr Pierre
ROWE, Mr Alfred G.
ROWE, Mr Edgar Maurice
RUDD, Mr Henry
RUSH, Mr Alfred George John
RUSSELL, Mr Boysie Richard
RUTTER, Mr Sidney Frank
RYAN, Mr Patrick
RYAN, Mr Thomas
RYERSON, Mr Arthur Larned
SAAD, Mr Amin Houssein
SACCAGGI, Mr Giovanni Giuseppe Emilio
SADLIER, Mr Matthew
SADOWITZ, Mr Henry
SAGE, Mr John George
SAGE, Mrs Annie Elizabeth
SAGE, Miss Stella Anne
SAGE, Mr George John
SAGE, Mr Douglas Bullen
SAGE, Mr Frederick
SAGE, Miss Dorothy Florence
SAGE, Master Anthony William
SAGE, Miss Elizabeth Ada
SAGE, Miss Constance Gladys
SAGE, Master Thomas Henry
SALANDER, Mr Karl Johan
SALONEN, Mr Johan Werner
SALUSSOLIA, Mr Govanni
SAMAAN, Mr Hanna Elias
SAMAAN, Mr Elias
SAMAAN, Mr Youssef
SAMUEL, Mr Owen Wilmore
SANGSTER, Mr Charles Edward
SARTORI, Sig. Lazar
SAUNDERCOCK, Mr William Henry
SAUNDERS, Mr F.
SAUNDERS, Mr Walter Ernest
SAUNDERS, Mr William Henry
SAUNDERS, Mr William Ernest
SAWYER, Mr Frederick Charles
SAWYER, Mr Robert James
SCANLAN, Mr James
SCAVINO, Sig. Candido
SCHMIDT, Mr Augustus
SCOTT, Mr Archibald
SCOTT, Mr John
SCOVELL, Mr Robert
SDYCOFF, Mr Todor
SEDGWICK, Mr Charles Frederick Waddington
SEDUNARY, Mr Samuel Francis
SELF, Mr Alfred Henry
SEMAN, Master Betros
SESIA, Sig. Giacomo
SHANNON, Mr Andrew John
SHARP, Mr Percival
SHAUGHNESSY, Mr Patrick
SHAW, Mr Henry
SHEA, Mr Thomas
SHEA, Mr John Joseph
SHELLARD, Mr Frederick Blainey
SHEPHERD, Mr Jonathan
SHIHĀB, Mr Al-Amīr Fāris
SHILLABEER, Mr Charles Frederick
SHORNEY, Mr Charles Joseph
SIEBERT, Mr Sidney Conrad
SIHVOLA, Mr Antti Wiljam
SILVEY, Mr William Baird
SIMMONS, Mr John
SIMMONS, Mr Frederick Charles
SIMMONS, Mr William Simon Catcott
SIMPSON, Dr John Edward
SIRAGANIAN, Mr Arsen
SIROTA, Mr Morris
SIVIĆ, Mr Husein
SIVIER, Mr William
SJÖSTEDT, Mr Ernst Adolf
SKEATES, Mr William
SKINNER, Mr Edward
SKOOG, Mr Wilhelm Johansson
SKOOG, Mrs Anna Bernhardina
SKOOG, Master Karl Thorsten
SKOOG, Master Harald
SKOOG, Miss Mabel
SKOOG, Miss Margit Elizabeth
SLABENOFF, Mr Petco
SLEMEN, Mr Richard James
SLIGHT, Mr Harry John
SLIGHT, Mr William Henry James
SLOAN, Mr Peter
SLOCOVSKI, Mr Selman Francis
SMALL, Mr William McMillan
SMART, Mr John Montgomery
SMILJANIĆ, Mr Mile
SMILLIE, Mr John Downing
SMITH, Captain Edward John
SMITH, Mr James Clinch
SMITH, Mr Richard William
SMITH, Mr Lucian Philip
SMITH, Mr William
SMITH, Mr Ernest George
SMITH, Mr James Muil
SMITH, Mr John Richard Jago
SMITH, Mr Charles Henry James
SMITH, Mr Charles Edwin
SMITH, Mr James William
SMITH, Mr Reginald George
SMITHER, Mr Harry James
SMYTH, Mr Thomas
SNAPE, Mrs Lucy Violet
SNELLGROVE, Mr George
SNOOKS, Mr W
SOBEY, Mr Samuel James Hayden
SOMERTON, Mr Francis William
SPECTOR, Mr Woolf
SPENCER, Mr William Augustus
SPINNER, Mr Henry John
STAGG, Mr John Henry
STANBROOK, Mr Augustus George
STANEFF, Mr Ivan
STANKOVIĆ, Mr Ivan
STANLEY, Mr Rowland Edwin
STANTON, Mr Samuel Ward
STEAD, Mr William Thomas
STEBBINGS, Mr Sydney Frederick
STEEL, Mr Robert Edward
STEWART, Mr Albert Ankeny
STOCKER, Mr Henry Dorey
STOKES, Mr Philip Joseph
STONE, Mr Edmund
STONE, Mr Edward Thomas
STOREY, Mr Thomas
STOYTCHEFF, Mr Ilia
STRANDBERG, Miss Ida Sofia
STRAUS, Mr Isidor
STRAUS, Mrs Rosalie Ida
STRILIĆ, Mr Ivan
STRÖM, Mrs Elna Matilda
STRÖM, Miss Telma Matilda
STROUD, Mr Edward Alfred Orlando
STROUD, Mr Harry John
STRUGNELL, Mr John Herbert
STUBBINGS, Mr Harry Robert
STUBBS, Mr James Henry
SUTEHALL, Mr Henry
SUTTON, Mr Frederick
SVENSSON, Mr Olof
SVENSSON, Mr Johan
SWAN, Mr William
SWANE, Mr George
SWEET, Mr George Frederick
SYMONDS, Mr John Crane
SÆTHER, Mr Simon Sivertsen
SØHOLT, Mr Peter Andreas Lauritz Andersen
TALBOT, Mr George Frederick Charles
TAMLYN, Mr Frederick
TANNŪS, Mr Bashīr
ṬANNŪS, Mr Ṭannūs Ḥannā Mu'awwad
ṬANNŪS MU'AWWAD, Mr Ḥannā
TAUSSIG, Mr Emil
TAYLOR, Mr Percy Cornelius
TAYLOR, Mr Charles William Frederick
TAYLOR, Mr J.
TAYLOR, Mr John Henry
TAYLOR, Mr Bernard Cuthbert
TAYLOR, Mr Leonard
TAYLOR, Mr William John
TERRELL, Mr Bertram
TESTONI, Sig. Ercole
TEUTON, Mr Thomas Moore
THALER, Mr Montague Donald
THAYER, Mr John Borland
THEOBALD, Mr Thomas Leonard
THOMAS, Mr Joseph Wakefield
THOMPSON, Mr Alexander Mellis
THOMPSON, Mr Herbert Henry
THORLEY, Mr William Gordon
THORN, Mr Harry
THORNEYCROFT, Mr Percival
TIETZ, Sig. Carlo/Karl
TIKKANEN, Mr Juho
TIZARD, Mr Arthur Leopold
TOBIN, Mr Roger
TODOROFF, Mr Lalio
TOMLIN, Mr Ernest Portage
TOPP, Mr Thomas
TÖRBER, Mr Ernst Wilhelm
TORFA, Mr Assad
TOSHACK, Mr James Adamson
TOTEVSKI, Mr Hristo Danchev
TOZER, Mr James
TROUPIANSKY, Mr Moses Aaron
TU'MAH AL-SAYQALĪ, Mr Assāf Jirjis
TURČIN, Mr Stjepan
TURLEY, Mr Richard
TURNER, Mr George Frederick
TURNER, Mr Leopold Olerenshaw
TURPIN, Mr William John
TURPIN, Mrs Dorothy Ann
TURVEY, Mr Charles Thomas
URBINI, Sig. Roberto
URUCHURTU, Mr Manuel Ramirez
VALVASSORI, Mr Ettore Luigi
VAN BILLIARD, Mr Austin Blyler
VAN BILLIARD, Master James William
VAN BILLIARD, Master Walter John
VAN DE VELDE, Mr Johannes Josef
VAN DEN STEEN, Mr Leo Peter
VAN DER BRUGGE, Mr Wessel Adrianus
VAN DERHOEF, Mr Wyckoff
VAN IMPE, Mr Jean Baptiste
VAN IMPE, Mrs Rosalie Paula
VAN IMPE, Miss Catharina
VAN MELCKEBEKE, Mr Philemon
VANDERCRUYSSEN, Mr Victor
VANDERPLANCKE, Mr Julius
VANDERPLANCKE, Mrs Emelie Maria
VANDERPLANCKE, Miss Augusta Maria
VANDERPLANCKE, Mr Leo Edmondus
VANDEWALLE, Mr Nestor Cyriel
VEAL, Mr James
VEAL, Mr Arthur
VEAL, Mr Thomas Henry Edom
VEAR, Mr Henry
VEAR, Mr William
VESTRÖM, Miss Hulda Amanda Adolfina
VICAT, Sig. Alphonse Jean Eugene
VILLVARLANGE, Mr Pierre Léon Gabriel
VINE, Mr Herbert Thomas Gordon
VIONI, Mr Roberto Pietro Gioacchino
VÖGELIN-DUBACH, Sig. Johannes
VOVK, Mr Janko
VULCHEV, Mr Minko Anghelov
WAELENS, Mr Achille
WAKE, Mr Percy
WALKER, Mr William Anderson
WALLIS, Mrs Catherine Jane
WALPOLE, Mr James
WALSH, Mrs Kate
WARD, Mr Arthur
WARD, Mr James William
WARD, Mr Edward Bryon
WARD, Mr Percy Thomas
WARDNER, Mr Fred Albert
WARE, Mr John James
WARE, Mr William Jeffery
WARE, Mr Frederick
WAREHAM, Mr Robert Arthur
WARREN, Mr Frank Manley
WARREN, Mr Charles William
WARWICK, Mr Tom
WATERIDGE, Mr Edward Lewis
WATSON, Mr Ennis Hastings
WATSON, Mr William
WATSON, Mr William Albert
WAZNAH, Mr Yūsuf Ahmad
WEATHERSTON, Mr Thomas Herbert
WEBB, Mr Samuel Francis
WEBB, Mr Brook Holden
WEBBER, Mr James
WEBBER, Mr Francis Albert
WEIR, Colonel John
WEISZ, Mr Léopold
WELCH, Mr William Harold
WENDEL, Mr Olof Edvin
WEST, Mr Edwy Arthur
WHEADON, Mr Edward Henry
WHEELER, Mr Edwin Charles
WHITE, Mr Percival Wayland
WHITE, Mr Richard Frasar
WHITE, Mr Albert
WHITE, Mr Frank Leonard
WHITE, Mr Arthur
WHITE, Mr Edward Joseph
WHITE, Mr Leonard Lisle Oliver
WHITFORD, Mr Alfred Henry
WICK, Col. George Dennick
WIDEGREN, Mr Carl Peter
WIDENER, Mr George Dunton
WIDENER, Mr Harry Elkins
WIKLUND, Mr Karl Johan
WIKLUND, Mr Jakob Alfred
WILDE, Mr Henry Tingle
WILLER, Mr Aaron
WILLEY, Mr Edward John
WILLIAMS, Mr Fletcher Fellowes Lambert
WILLIAMS, Mr Charles Duane
WILLIAMS, Mr Howard Hugh
WILLIAMS, Mr Leslie
WILLIAMS, Mr Samuel Solomon
WILLIAMS, Mr Arthur John
WILLIAMSON, Mr James Bertram
WILLIS, Mr William
WILLSHER, Mr William Aubrey
WILSON, Mr Bertie
WILTON, Mr William Edward
WINDELØV, Mr Einar
WINSER, Mr Rowland
WIRZ, Mr Albert
WISEMAN, Mr Philip
ABBOTT, Mr Eugene Joseph
ALLISON, Miss Helen Loraine
ANDERSSON, Miss Sigrid Elisabeth
ANDERSSON, Miss Ingeborg Constanzia
ANDERSSON, Miss Ebba Iris Alfrida
ANDERSSON, Master Sigvard Harald Elias
ANDERSSON, Miss Ellis Anna Maria
ASPLUND, Master Carl Edgar
ASPLUND, Master Filip Oscar
ASPLUND, Master Clarence Gustaf Hugo
BŪLUS, Miss Nūr al-'ayn
BŪLUS, Master Akar
DANBOM, Master Gilbert Sigvard Emanuel
FORD, Mr William Neal Thomas
FORD, Miss Robina Maggie
GOODWIN, Mr Charles Edward
GOODWIN, Master William Frederick
GOODWIN, Miss Jessie Allis Mary
GOODWIN, Master Harold Victor
GOODWIN, Master Sidney Leslie
HOPKINS, Mr Frederick William
IBRĀHĪM, Mr Husayn Mahmūd Husayn
JOHNSTON, Master William Andrew
JOHNSTON, Miss Catherine Nellie
KLASÉN, Miss Gertrud Emilia
LEFEBVRE, Master Henry
LEFEBVRE, Miss Ida
LEFEBVRE, Miss Jeannie
LEFEBVRE, Miss Mathilde
PÅLSSON, Master Gösta Leonard
PÅLSSON, Master Paul Folke
PÅLSSON, Miss Stina Viola
PÅLSSON, Miss Torborg Danira
PANULA, Master Juha Niilo
PANULA, Master Urho Abraham
PANULA, Master Eino Viljam
PEACOCK, Master Albert Edward
PEACOCK, Miss Treasteall
RICE, Master Albert
RICE, Master George
RICE, Master Eric
RICE, Master Arthur
RICE, Master Francis
ROSBLOM, Miss Salli Helena
SAGE, Miss Dorothy Florence
SAGE, Master Anthony William
SAGE, Miss Elizabeth Ada
SAGE, Miss Constance Gladys
SAGE, Master Thomas Henry
SEMAN, Master Betros
SKOOG, Master Karl Thorsten
SKOOG, Master Harald
SKOOG, Miss Mabel
SKOOG, Miss Margit Elizabeth
STRÖM, Miss Telma Matilda
SWEET, Mr George Frederick
VAN BILLIARD, Master James William
VAN BILLIARD, Master Walter John
VAN IMPE, Miss Catharina
VESTRÖM, Miss Hulda Amanda Adolfina
WATSON, Mr William Albert